video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps
video_01,data/raw/test_video.mp4,config/test_video_params.json,0,0.0,29.858562,480,600,center,1,240.0,238.522679,1.477321,20.0,RETO,20.0,20.0,1,1,1,1,83.49914523689762,393.54621294243793,103.49914523689762,238.52267908966778,373.54621294243793,1.0,1.0,23891.800576492773,136142.85638990314,328.8089,3.04128
video_01,data/raw/test_video.mp4,config/test_video_params.json,1,0.202356,29.858562,480,600,center,1,240.0,241.464608,-1.464608,20.0,RETO,20.0,20.0,1,1,1,1,86.2808919425863,396.64832349378054,106.2808919425863,241.4646077181834,376.64832349378054,1.0,1.0,24264.8969169047,138088.2251229058,229.8969,4.349776
video_01,data/raw/test_video.mp4,config/test_video_params.json,2,0.235689,29.858562,480,600,center,1,240.0,243.886347,-3.886347,20.0,RETO,20.0,20.0,1,1,1,1,88.67011148182283,399.1025832678717,108.67011148182283,243.88634737484725,379.1025832678717,1.0,1.0,22768.427817139374,440971.5269159992,177.133,5.645475
video_01,data/raw/test_video.mp4,config/test_video_params.json,3,0.269011,29.858562,480,600,center,1,240.0,245.621849,-5.621849,20.0,RETO,20.0,20.0,1,1,1,1,90.27844358729669,400.96525487001844,110.27844358729669,245.62184922865757,380.96525487001844,1.0,1.0,23848.524696612192,289392.3281928136,193.3146,5.172915
video_01,data/raw/test_video.mp4,config/test_video_params.json,4,0.302333,29.858562,480,600,center,1,240.0,247.139957,-7.139957,20.0,RETO,20.0,20.0,1,1,1,1,91.68984725819305,402.5900676703989,111.68984725819305,247.139957464296,382.5900676703989,1.0,1.0,23680.09180320609,285703.5112096751,194.0617,5.153
video_01,data/raw/test_video.mp4,config/test_video_params.json,5,0.335656,29.858562,480,600,center,1,240.0,248.328624,-8.328624,20.0,RETO,20.0,20.0,1,1,1,1,92.76925973471668,403.88798833981286,112.76925973471668,248.32862403726477,383.88798833981286,1.0,1.0,24104.925549444943,313699.4356562898,186.217,5.370079
video_01,data/raw/test_video.mp4,config/test_video_params.json,6,0.368989,29.858562,480,600,center,1,240.0,249.262965,-9.262965,20.0,RETO,20.0,20.0,1,1,1,1,93.6084717547974,404.91745892482186,113.6084717547974,249.26296533980965,384.91745892482186,1.0,1.0,24174.637581104187,337835.9232772071,184.857,5.409587
video_01,data/raw/test_video.mp4,config/test_video_params.json,7,0.402311,29.858562,480,600,center,1,240.0,249.933246,-9.933246,20.0,RETO,20.0,20.0,1,1,1,1,94.19730032985893,405.669192066434,114.19730032985893,249.93324619814646,385.669192066434,1.0,1.0,24250.053387382628,226871.20534900576,181.7828,5.501071
video_01,data/raw/test_video.mp4,config/test_video_params.json,8,0.435633,29.858562,480,600,center,1,240.0,251.03734,-11.03734,20.0,RETO,20.0,20.0,1,1,1,1,95.12994376862218,406.94473698068356,115.12994376862218,251.0373403746529,386.94473698068356,1.0,1.0,24518.277667706934,190046.75828334913,181.9926,5.494729
video_01,data/raw/test_video.mp4,config/test_video_params.json,9,0.468967,29.858562,480,600,center,1,240.0,251.852664,-11.852664,20.0,RETO,20.0,20.0,1,1,1,1,95.71617666474094,407.9891522816792,115.71617666474094,251.85266447321007,387.9891522816792,1.0,1.0,24225.227182816903,253545.68751865573,158.9404,6.291667
